Region,County,0 - 4,5-9,10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over,1/2-Rm-HDB,3-Rm-HDB,4-Rm-HDB,5-Rm-HDB & EC,Condos,Landed Properties,Others,Total Pop,Latitude,Longitude,Kids,Youth,Working,Elderly
Sungei Kadut,Reservoir View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.431,103.7474,0,0,0,0
Sungei Kadut,Turf Club,20,30,20,40,50,60,40,40,40,50,50,50,50,40,40,30,30,10,10,0,0,0,0,0,700,0,700,1.4201,103.7623,70,90,380,160
Tampines,Simei,1480,1740,2000,2240,2800,3340,2490,2780,2920,3070,3000,3510,3120,2340,1410,780,520,300,210,0,180,11650,11730,12120,4080,290,40050,1.3402,103.9532,5220,5040,24230,5560
Tampines,Tampines East,5690,5480,6060,7160,9840,11190,9570,9070,8130,8670,10340,11600,11160,8110,4810,2680,1770,960,530,4300,23570,51370,47940,5230,0,410,132820,1.3535,103.9527,17230,17000,79730,18860
Tampines,Tampines North,300,160,80,60,80,330,420,220,130,110,130,70,80,70,70,50,50,30,20,60,630,1040,560,0,0,170,2460,1.3682,103.9376,540,140,1490,290
Tampines,Tampines West,3790,3740,3850,4390,5670,6390,6140,5760,5320,5440,5800,6570,6380,4610,2680,1440,930,520,270,2210,9740,34890,24250,8370,0,230,79690,1.3483,103.9337,11380,10060,47800,10450
Tampines,Xilin,40,60,70,120,180,160,100,70,90,110,160,230,170,90,50,20,20,10,0,0,0,0,0,1180,490,80,1750,1.3315,103.9686,170,300,1090,190
Tanglin,Chatsworth,350,430,410,280,250,310,420,610,760,740,550,410,330,310,250,150,90,50,30,0,0,0,0,5630,1010,90,6730,1.2983,103.8235,1190,530,4130,880
Tanglin,Nassim,520,830,620,530,460,440,480,710,920,910,750,640,550,480,350,210,120,80,70,0,0,0,0,7990,1630,50,9670,1.3136,103.8239,1970,990,5400,1310
Tanglin,Ridout,70,80,80,70,70,80,90,100,120,110,110,110,100,90,80,30,30,20,20,0,0,0,0,600,820,40,1460,1.3038,103.8127,230,140,820,270
Tanglin,Tyersall,160,240,230,210,200,210,200,220,290,350,330,310,230,210,150,100,70,40,20,0,40,190,260,2430,850,0,3770,1.3149,103.8111,630,410,2140,590
Tengah,Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3622,103.7252,0,0,0,0
Toa Payoh,Bidadari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3411,103.8756,0,0,0,0
Toa Payoh,Boon Teck,510,510,580,720,770,1000,890,780,790,990,1030,1220,1160,910,800,630,470,280,150,4520,4010,1910,3490,0,0,260,14190,1.3355,103.8534,1600,1490,7860,3240
Toa Payoh,Braddell,360,410,460,460,600,690,590,630,660,740,760,760,740,650,490,380,290,160,100,1440,2760,1890,2540,1250,0,50,9930,1.3402,103.85,1230,1060,5570,2070
Toa Payoh,Joo Seng,350,370,410,340,410,560,690,630,640,660,560,560,570,470,350,230,180,100,70,0,1060,2030,1800,1740,1370,150,8150,1.3366,103.8827,1130,750,4870,1400
Toa Payoh,Kim Keat,210,270,300,340,460,650,480,480,510,620,580,690,760,570,470,330,220,110,60,290,3180,2550,2000,0,0,90,8110,1.3317,103.8585,780,800,4770,1760
Toa Payoh,Lorong 8 Toa Payoh,170,210,270,340,430,490,380,400,480,550,550,640,590,570,420,380,260,150,70,410,2090,2930,1850,0,0,70,7350,1.3408,103.8573,650,770,4080,1850
Toa Payoh,Pei Chun,290,380,490,550,570,590,520,600,750,920,910,860,840,680,570,480,330,160,90,400,5220,2770,2110,0,0,80,10580,1.337,103.8584,1160,1120,5990,2310
Toa Payoh,Potong Pasir,370,470,440,550,510,740,800,830,890,910,860,870,1010,970,670,410,230,130,50,0,4870,3760,1090,1790,50,150,11710,1.3334,103.866,1280,1060,6910,2460
Toa Payoh,Sennett,210,240,280,290,300,380,400,400,400,400,330,370,410,340,260,190,120,100,80,0,0,0,0,1260,4020,220,5500,1.3337,103.8741,730,590,3090,1090
Toa Payoh,Toa Payoh Central,1120,1530,1340,1350,1530,1800,1680,2200,2400,2370,2130,2060,1870,1500,1200,990,710,380,210,2440,4790,10940,7850,2170,0,180,28370,1.333,103.8449,3990,2880,16510,4990
Toa Payoh,Toa Payoh West,560,490,520,560,640,920,1120,960,1040,1080,1040,1110,1060,970,840,660,530,260,120,540,7380,2220,580,3610,0,150,14480,1.3394,103.842,1570,1200,8330,3380
Toa Payoh,Woodleigh,100,130,170,160,140,190,140,190,200,230,180,170,160,120,70,30,20,10,10,0,0,0,0,2120,250,50,2420,1.3396,103.8663,400,300,1460,260
Tuas,Tengeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3376,103.6506,0,0,0,0
Tuas,Tuas Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3181,103.6438,0,0,0,0
Tuas,Tuas North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.328,103.6499,0,0,0,0
Tuas,Tuas Promenade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3301,103.6346,0,0,0,0
Tuas,Tuas View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.305,103.6333,0,0,0,0
Tuas,Tuas View Extension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579,103.6135,0,0,0,0
Western Islands,Jurong Island And Bukom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,103.6702,0,0,0,0
Western Islands,Semakau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2028,103.7725,0,0,0,0
Western Islands,Sudong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.208,103.7192,0,0,0,0
Western Water Catchment,Western Water Catchment,30,40,30,30,140,40,30,70,70,40,50,60,40,10,0,10,0,0,0,0,0,0,0,0,0,690,690,1.3808,103.6956,100,170,400,20
Woodlands,Greenwood Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4466,103.7851,0,0,0,0
Woodlands,Midview,1650,1650,1950,2780,3530,3060,2530,2290,2090,2740,3410,2840,2000,1290,710,470,290,150,100,1200,1020,15520,17590,0,0,200,35530,1.4399,103.7914,5250,6310,20960,3010
Woodlands,North Coast,320,360,510,720,990,1020,690,680,730,870,1120,1200,1010,820,590,370,230,100,40,130,4780,5400,2020,0,10,30,12370,1.4509,103.7768,1190,1710,7320,2150
Woodlands,Senoko West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4514,103.7965,0,0,0,0
Woodlands,Woodgrove,1030,1370,1810,2500,3460,3060,2020,2000,2280,2740,3430,2830,2310,1410,810,460,320,160,120,220,1990,12560,13400,4930,710,310,34120,1.4283,103.7784,4210,5960,20670,3280
Woodlands,Woodlands East,5000,5380,6150,7270,7850,7540,7310,7340,7680,8620,8140,7310,5360,3400,1910,1070,660,350,170,2810,2080,47100,41820,4490,0,210,98510,1.4413,103.8033,16530,15120,59300,7560
Woodlands,Woodlands Regional Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.439,103.785,0,0,0,0
Woodlands,Woodlands South,2190,2730,2950,3110,2920,2590,2950,3610,3540,3630,3110,2500,1940,1460,870,470,280,140,50,1800,1010,13020,17890,7290,0,30,41040,1.4289,103.7938,7870,6030,23870,3270
Woodlands,Woodlands West,1390,1330,1520,1900,2650,2930,2350,2010,1950,2280,2800,2970,2610,1780,1170,730,470,230,90,3750,8870,11010,9290,0,0,240,33160,1.4391,103.775,4240,4550,19900,4470
Yishun,Khatib,320,320,410,480,670,960,780,620,590,700,800,1090,970,770,440,240,150,80,30,220,2100,4150,3910,0,0,40,10420,1.4181,103.829,1050,1150,6510,1710
Yishun,Lower Seletar,2180,1530,1080,910,700,1410,2610,2090,1340,1180,820,680,460,340,220,100,90,40,30,1210,1890,5510,3790,4340,1060,10,17810,1.4109,103.8472,4790,1610,10590,820
Yishun,Nee Soon,30,60,50,60,50,60,50,50,60,90,80,100,60,40,30,30,10,10,10,0,0,0,0,440,450,40,930,1.4044,103.8147,140,110,550,130
Yishun,Northland,980,1080,1390,1650,1960,2410,1940,1910,1940,2070,2250,2680,2390,1690,990,580,350,150,80,970,6530,15170,5730,0,0,90,28490,1.4379,103.8393,3450,3610,17590,3840
Yishun,Springleaf,130,190,240,300,330,400,240,180,260,330,300,380,320,280,230,100,70,30,20,0,0,0,0,130,4180,20,4330,1.403,103.8227,560,630,2410,730
Yishun,Yishun Central,60,90,100,90,140,180,150,160,160,140,150,190,150,120,70,40,20,10,10,0,0,720,600,700,0,10,2030,1.4267,103.8379,250,230,1280,270
Yishun,Yishun East,4610,4280,3120,3020,3270,4110,5820,6290,4660,3950,3880,4020,3270,2410,1390,750,450,220,110,3470,7270,32030,13250,3580,0,30,59630,1.4279,103.8476,12010,6290,36000,5330
Yishun,Yishun South,1850,1650,1960,2150,2570,3920,3470,2880,2790,3010,3100,3720,3190,2410,1520,900,530,270,170,950,4530,20120,13340,2890,0,230,42060,1.4186,103.8386,5460,4720,26080,5800
Yishun,Yishun West,1890,2080,2580,2990,3440,3970,3620,3750,3950,4270,4510,4870,4480,3410,2070,1360,810,420,230,1250,18290,22560,5960,6090,0,550,54700,1.4325,103.8309,6550,6430,33420,8300
