Region,County,0 - 4,5-9,10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over,1/2-Rm-HDB,3-Rm-HDB,4-Rm-HDB,5-Rm-HDB & EC,Condos,Landed Properties,Others,Total Pop,Latitude,Longitude,Kids,Youth,Working,Elderly
Paya Lebar,Paya Lebar East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3559,103.9245,0,0,0,0
Paya Lebar,Paya Lebar North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3732,103.9255,0,0,0,0
Paya Lebar,Paya Lebar West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3726,103.9103,0,0,0,0
Paya Lebar,Plab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3594,103.9123,0,0,0,0
Pioneer,Benoi Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3172,103.6875,0,0,0,0
Pioneer,Gul Basin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3021,103.6774,0,0,0,0
Pioneer,Gul Circle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3151,103.6676,0,0,0,0
Pioneer,Joo Koon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3265,103.6813,0,0,0,0
Pioneer,Pioneer Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3005,103.6606,0,0,0,0
Punggol,Coney Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4087,103.9217,0,0,0,0
Punggol,Matilda,5680,4700,2810,2120,1700,2800,6040,7320,4760,3490,2420,2050,1680,1450,960,530,270,130,70,3760,5510,20250,11980,9490,0,-10,50980,1.4023,103.8965,13190,3820,30560,3410
Punggol,Northshore,10,10,10,20,30,30,10,10,20,30,30,20,20,10,10,10,10,10,0,0,0,0,0,0,280,20,300,1.4153,103.9048,30,50,170,50
Punggol,Punggol Canal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4071,103.9161,0,0,0,0
Punggol,Punggol Field,2660,3500,3950,3250,2550,2480,2930,4310,5240,4870,3270,2900,2390,1820,1220,690,430,210,120,970,370,13440,28370,5400,0,240,48790,1.3944,103.9124,10110,5800,28390,4490
Punggol,Punggol Town Centre,2760,1930,1040,710,560,1100,3180,3140,1850,1270,880,710,560,470,330,170,100,60,30,1210,3270,10970,4300,1090,0,10,20850,1.4087,103.9015,5730,1270,12690,1160
Punggol,Waterway East,5740,4570,3000,2050,1520,2440,6460,7000,4760,3320,2270,1850,1510,1350,900,490,270,140,70,3020,5010,24500,11390,5770,0,20,49710,1.4019,103.9137,13310,3570,29610,3220
Queenstown,Commonwealth,190,200,270,270,310,410,430,460,470,610,580,610,550,470,400,360,300,180,80,1640,5230,260,0,0,0,20,7150,1.3043,103.7998,660,580,4120,1790
Queenstown,Dover,370,570,660,620,650,640,540,730,910,960,880,810,720,620,590,370,290,130,60,390,2120,3050,2800,2500,50,210,11120,1.3036,103.7796,1600,1270,6190,2060
Queenstown,Ghim Moh,850,590,540,500,610,830,1370,1060,890,900,820,830,840,820,860,630,460,250,120,2100,4900,4580,2160,0,0,30,13770,1.3117,103.7879,1980,1110,7540,3140
Queenstown,Holland Drive,400,360,390,500,550,820,810,790,920,1090,980,940,880,890,860,740,550,260,160,520,5640,4290,2380,0,10,50,12890,1.3083,103.7949,1150,1050,7230,3460
Queenstown,Kent Ridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.286,103.7917,0,0,0,0
Queenstown,Margaret Drive,1180,1140,730,570,550,790,1440,1920,1480,1050,850,800,710,740,540,400,320,180,120,370,1100,9530,3460,760,10,280,15510,1.2994,103.8054,3050,1120,9040,2300
Queenstown,Mei Chin,440,560,720,820,950,1080,910,890,1040,1180,1300,1320,1210,970,690,570,480,290,150,1630,5190,2710,2690,2990,220,140,15570,1.294,103.8028,1720,1770,8930,3150
Queenstown,National University Of S'pore,10,20,10,10,150,30,20,10,10,20,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,330,330,1.2969,103.7767,40,160,130,0
Queenstown,One North,40,60,50,30,20,30,50,90,90,90,70,40,20,10,20,0,0,0,0,0,0,0,0,600,80,30,710,1.2988,103.7904,150,50,480,30
Queenstown,Pasir Panjang 1,160,190,240,250,280,350,300,360,390,410,340,310,290,220,160,90,50,30,10,0,0,0,0,2960,1400,70,4430,1.2859,103.7825,590,530,2750,560
Queenstown,Pasir Panjang 2,100,120,140,160,210,240,170,180,230,210,240,240,250,280,140,80,40,10,20,0,0,0,0,1410,1580,70,3060,1.2775,103.7955,360,370,1760,570
Queenstown,Port,0,0,0,10,10,20,10,10,0,0,0,20,10,10,10,0,0,0,0,0,0,0,0,0,90,20,110,1.2781,103.7654,0,20,70,20
Queenstown,Queensway,10,10,10,10,20,20,20,30,20,40,30,30,20,20,20,10,0,0,0,0,0,0,0,260,20,40,320,1.2886,103.7984,30,30,210,50
Queenstown,Singapore Polytechnic,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,130,130,1.3123,103.7768,30,20,70,10
Queenstown,Tanglin Halt,420,420,420,420,440,670,750,810,890,920,800,840,770,720,670,500,410,260,120,1290,6050,3090,650,0,0,170,11250,1.302,103.7966,1260,860,6450,2680
River Valley,Institution Hill,220,250,210,140,140,170,220,380,430,360,240,180,150,160,110,60,40,20,10,0,0,0,0,3440,30,20,3490,1.2936,103.8376,680,280,2130,400
River Valley,Leonie Hill,120,160,160,180,140,180,180,250,300,390,280,210,180,120,100,40,20,20,10,0,0,0,0,2980,30,30,3040,1.298,103.8343,440,320,1970,310
River Valley,One Tree Hill,80,100,100,110,120,110,100,140,160,190,190,170,150,110,90,50,40,20,20,0,0,0,0,1530,510,10,2050,1.3019,103.8265,280,230,1210,330
River Valley,Oxley,60,60,70,70,50,90,100,100,140,130,110,110,80,80,80,60,40,10,30,0,0,0,0,1310,120,40,1470,1.2968,103.8405,190,120,860,300
River Valley,Paterson,10,10,10,10,10,10,10,30,30,30,20,20,10,10,0,0,0,0,0,0,0,0,0,220,10,-10,220,1.3016,103.8315,30,20,160,10
Rochor,Bencoolen,40,40,40,40,60,70,90,80,90,110,110,120,110,100,70,50,30,30,20,40,780,120,0,270,0,90,1300,1.3017,103.8514,120,100,780,300
Rochor,Farrer Park,80,100,140,120,120,150,170,220,250,240,210,180,210,190,130,90,60,30,40,0,280,1770,410,80,20,170,2730,1.3092,103.8521,320,240,1630,540
Rochor,Kampong Glam,0,0,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,10,20,0,0,0,0,20,0,110,130,1.3024,103.8596,0,10,80,40
Rochor,Little India,80,90,120,150,180,220,200,190,260,260,250,270,280,270,200,160,100,60,50,0,1260,1520,270,40,40,260,3390,1.3068,103.8542,290,330,1930,840
Rochor,Mackenzie,0,10,0,10,0,10,10,20,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,90,1.3062,103.8484,10,10,70,0
Rochor,Mount Emily,70,80,80,50,40,100,170,220,220,170,100,70,70,50,20,10,10,10,10,0,0,0,0,1450,60,40,1550,1.3025,103.8474,230,90,1120,110
Rochor,Rochor Canal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.304,103.8575,0,0,0,0
Rochor,Selegie,10,0,10,10,10,20,10,20,40,10,20,20,10,20,10,0,10,10,10,0,0,0,0,200,30,20,250,1.3024,103.8496,20,20,150,60
Rochor,Sungei Road,70,80,80,100,120,120,110,120,110,150,150,170,160,160,140,120,60,40,10,680,960,360,30,0,0,40,2070,1.3057,103.8567,230,220,1090,530
Rochor,Victoria,40,40,40,40,80,100,130,120,140,130,130,170,180,170,150,100,70,40,30,0,1110,520,40,180,0,50,1900,1.2999,103.8532,120,120,1100,560
Seletar,Pulau Punggol Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4246,103.8792,0,0,0,0
Seletar,Pulau Punggol Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4195,103.891,0,0,0,0
Seletar,Seletar,10,10,20,20,20,0,10,10,20,50,30,20,10,10,10,0,0,0,0,0,0,0,0,0,260,-10,250,1.4099,103.8836,40,40,150,20
Seletar,Seletar Aerospace Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.413,103.8681,0,0,0,0
Sembawang,Admiralty,790,910,980,900,760,840,1090,1230,1290,1240,990,950,760,530,320,230,150,90,30,1110,800,5930,6200,0,0,40,14080,1.4522,103.8252,2680,1660,8390,1350
Sembawang,Sembawang Central,1740,1930,2140,2260,2120,2590,2620,2790,2960,3080,2560,2430,1980,1250,680,440,300,170,80,1360,580,11650,16410,3900,0,220,34120,1.4469,103.8174,5810,4380,21010,2920
Sembawang,Sembawang East,1300,570,580,540,620,1550,1750,970,850,770,710,540,350,260,140,110,60,40,10,1620,1930,5310,2770,0,80,10,11720,1.4478,103.831,2450,1160,7490,620
Sembawang,Sembawang North,1190,1620,1820,1820,1530,1530,1680,2290,2350,2370,1930,1810,1520,1050,590,350,200,110,50,1040,250,11460,12910,0,0,150,25810,1.4556,103.8162,4630,3350,15480,2350
Sembawang,Sembawang Springs,470,530,620,560,430,550,800,790,820,770,600,440,290,260,180,160,110,70,70,0,0,0,0,6170,1920,430,8520,1.4415,103.8243,1620,990,5060,850
